"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"room_condition",1,0.0155177554892926,0.0155177554892926,0.0300126795550922,0.86366501643266
"Residuals",29,14.9941596638655,0.517039988409157,NA,NA
