"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","log10(target_distance)",0.845702268600076,0.95,0.718551594944339,1
"2","room_condition",0.00113809761681585,0.95,0,1
"3","log10(target_distance):room_condition",0.000322230140921529,0.95,0,1
