"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"room_condition",1,62.5625306372549,62.5625306372549,9.95731573321821,0.00363090718680935
"Residuals",30,188.492156862745,6.28307189542484,NA,NA
