"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","log10(target_distance)",0.849591376830665,0.95,0.726456703963939,1
"2","room_condition",0.0792161316665077,0.95,0.000526432484988774,1
"3","log10(target_distance):room_condition",0.000928388295986578,0.95,0,1
