"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"room_condition",1,98.4922138887592,98.4922138887592,8.58141730029589,0.00427159447388772
"Residuals",93,1067.3966282165,11.4773830991022,NA,NA
