"","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","log10(target_distance)",0.93377665413791,0.95,0.902963496839509,1
"2","room_condition",6.11063533526626e-05,0.95,0,1
"3","log10(target_distance):room_condition",0.000123432237925901,0.95,0,1
