"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"log10(target_distance)",9.85616339379039,9.85616339379039,1,44.9536613671065,633.865277511676,3.86753191182419e-28
"room_condition",0.00025950545145104,0.00025950545145104,1,273.100595531855,0.0166892013076244,0.89730501701747
"log10(target_distance):room_condition",0.00082115117802503,0.00082115117802503,1,427.789356989043,0.0528095160907947,0.818354527886057
