"subject","room_condition","dimension","value","block","experiment"
6,"Small VE","Depth",5,1,1
6,"Small VE","Width",2,1,1
6,"Small VE","Height",3,1,1
7,"Small VE","Depth",5,2,1
7,"Small VE","Width",4,2,1
7,"Small VE","Height",3,2,1
8,"Small VE","Depth",7,1,1
8,"Small VE","Width",7,1,1
8,"Small VE","Height",4.3,1,1
9,"Small VE","Depth",8,2,1
9,"Small VE","Width",5,2,1
9,"Small VE","Height",5,2,1
10,"Small VE","Depth",8,1,1
10,"Small VE","Height",5,1,1
11,"Small VE","Depth",4.5,2,1
11,"Small VE","Width",5,2,1
11,"Small VE","Height",3.5,2,1
12,"Small VE","Depth",4,2,1
13,"Small VE","Depth",6,1,1
13,"Small VE","Width",5,1,1
13,"Small VE","Height",4,1,1
14,"Small VE","Depth",4.5,2,1
14,"Small VE","Width",4,2,1
14,"Small VE","Height",3,2,1
15,"Small VE","Depth",3,1,1
15,"Small VE","Width",5,1,1
15,"Small VE","Height",4,1,1
16,"Small VE","Depth",5,2,1
16,"Small VE","Width",4.5,2,1
16,"Small VE","Height",2.5,2,1
17,"Small VE","Depth",2,1,1
17,"Small VE","Width",3,1,1
17,"Small VE","Height",2.1,1,1
18,"Small VE","Depth",10,2,1
18,"Small VE","Height",4.5,2,1
19,"Small VE","Depth",7,1,1
19,"Small VE","Width",5,1,1
19,"Small VE","Height",2.5,1,1
20,"Small VE","Depth",4,2,1
21,"Small VE","Depth",3,1,1
21,"Small VE","Width",3,1,1
21,"Small VE","Height",2.3,1,1
22,"Small VE","Depth",15,2,1
23,"Small VE","Depth",10,1,1
23,"Small VE","Width",8.5,1,1
23,"Small VE","Height",3,1,1
24,"Small VE","Depth",3.5,2,1
24,"Small VE","Width",4,2,1
24,"Small VE","Height",2.5,2,1
25,"Small VE","Depth",6,1,1
25,"Small VE","Width",4,1,1
25,"Small VE","Height",4,1,1
26,"Small VE","Depth",3.5,2,1
26,"Small VE","Width",3,2,1
26,"Small VE","Height",2.5,2,1
27,"Small VE","Depth",7,1,1
27,"Small VE","Width",5,1,1
27,"Small VE","Height",2.8,1,1
28,"Small VE","Depth",10,2,1
29,"Small VE","Depth",8,1,1
