"subject","room_condition","experiment","auditory_max_dist","visual_perc_depth","block","log_auditory_max_dist","log_visual_perc_depth"
1,"Congruent VE",1,2.5,10,1,0.916290731874155,2.30258509299405
1,"Congruent VE",3,2.5,12,2,0.916290731874155,2.484906649788
1,"No visual info",3,2.26666666666667,17,1,0.818310323513953,2.83321334405622
1,"No visual info",4,0.833333333333333,2,1,-0.182321556793955,0.693147180559945
1,"Small VE",1,2.36666666666667,7,2,0.861482495379161,1.94591014905531
10,"Congruent VE",1,5,9.5,2,1.6094379124341,2.2512917986065
10,"Large VE",4,2.46666666666667,6,2,0.902867711542016,1.79175946922805
10,"No visual info",2,10,10,1,2.30258509299405,2.30258509299405
10,"No visual info",4,2.7,4,1,0.993251773010283,1.38629436111989
10,"Small VE",1,3.83333333333333,8,1,1.34373474670109,2.07944154167984
11,"Congruent VE",1,4.66666666666667,8,1,1.54044504094715,2.07944154167984
11,"Congruent VE",3,4.66666666666667,7,2,1.54044504094715,1.94591014905531
11,"Large VE",4,4.33333333333333,12,2,1.46633706879343,2.484906649788
11,"No visual info",2,2,8,1,0.693147180559945,2.07944154167984
11,"No visual info",3,5.33333333333333,6,1,1.67397643357167,1.79175946922805
11,"No visual info",4,3.83333333333333,6.5,1,1.34373474670109,1.87180217690159
11,"Small VE",1,4.33333333333333,4.5,2,1.46633706879343,1.50407739677627
11,"Visual info",2,3.33333333333333,6,2,1.20397280432594,1.79175946922805
12,"Congruent VE",1,1.43333333333333,10,1,0.360002734031405,2.30258509299405
12,"Congruent VE",3,2.33333333333333,6,2,0.847297860387202,1.79175946922805
12,"Large VE",4,3.33333333333333,15,2,1.20397280432594,2.70805020110221
12,"No visual info",2,2.66666666666667,3,1,0.980829253011728,1.09861228866811
12,"No visual info",3,3,2,1,1.09861228866811,0.693147180559945
12,"Small VE",1,1.46666666666667,4,2,0.382992252256108,1.38629436111989
12,"Visual info",2,4.33333333333333,8,2,1.46633706879343,2.07944154167984
