"subject","room_condition","target_distance","block","perc_dist_sd","perc_dist_sem","perc_dist_var","perc_dist_n","perc_dist","rel_bias_signed_sd","rel_bias_signed_sem","rel_bias_signed_var","rel_bias_signed_n","rel_bias_signed","rel_bias_unsigned_sd","rel_bias_unsigned_sem","rel_bias_unsigned_var","rel_bias_unsigned_n","rel_bias_unsigned","abs_bias_sd","abs_bias_sem","abs_bias_var","abs_bias_n","log_bias_sd","log_bias_sem","log_bias_var","log_bias_n","log_bias_m","log_bias_unsigned_sd","log_bias_unsigned_sem","log_bias_unsigned_var","log_bias_unsigned_n","log_bias_unsigned_m","experiment"
34,"Congruent VE",2,1,0.5,0.288675134594813,0.25,3,1.5,0.25,0.144337567297406,0.0625,3,-0.25,0.25,0.144337567297406,0.0625,3,0.25,0.5,0.288675134594813,0.25,3,0.151237604291255,0.0873170715491503,0.0228728129517583,3,-0.141989577424094,0.151237604291255,0.0873170715491503,0.0228728129517583,3,0.141989577424094,"1"
36,"Congruent VE",2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.301029995663981,0,0,0,3,0.301029995663981,"1"
38,"Congruent VE",2,1,0.433012701892219,0.25,0.1875,3,1.25,0.21650635094611,0.125,0.046875,3,-0.375,0.21650635094611,0.125,0.046875,3,0.375,0.433012701892219,0.25,0.1875,3,0.140318082832353,0.0810126828954315,0.0196891643697472,3,-0.22001731276855,0.140318082832353,0.0810126828954315,0.0196891643697472,3,0.22001731276855,"1"
40,"Congruent VE",2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.301029995663981,0,0,0,3,0.301029995663981,"1"
42,"Congruent VE",2,1,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.466666666666667,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,-0.766666666666667,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,0.766666666666667,0.0577350269189626,0.0333333333333334,0.00333333333333334,3,0.0559510220973715,0.0323033376693521,0.00313051687374055,3,-0.634363328997315,0.0559510220973715,0.0323033376693521,0.00313051687374055,3,0.634363328997315,"1"
44,"Congruent VE",2,1,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.666666666666667,0.144337567297406,0.0833333333333333,0.0208333333333333,3,-0.666666666666667,0.144337567297406,0.0833333333333333,0.0208333333333333,3,0.666666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.173799749030751,0.100343331887994,0.0302063527631522,3,-0.501716659439969,0.173799749030751,0.100343331887994,0.0302063527631522,3,0.501716659439969,"1"
46,"Congruent VE",2,1,0.0447213595499958,0.0182574185835055,0.002,6,0.15,0.0223606797749979,0.00912870929175276,0.000499999999999999,6,-0.925,0.0223606797749979,0.00912870929175276,0.000499999999999999,6,0.925,0.0447213595499957,0.0182574185835055,0.00199999999999999,6,0.135271025579784,0.0552241649422404,0.0182982503614066,6,-1.14198957742409,0.135271025579784,0.0552241649422404,0.0182982503614066,6,1.14198957742409,"1"
48,"Congruent VE",2,1,0.0288675134594813,0.0166666666666667,0.000833333333333333,3,0.116666666666667,0.0144337567297406,0.0083333333333333,0.000208333333333332,3,-0.941666666666667,0.0144337567297406,0.0083333333333333,0.000208333333333332,3,0.941666666666667,0.0288675134594812,0.0166666666666666,0.000833333333333327,3,0.101666335817738,0.0586970863518938,0.010336043838605,3,-1.24233290931209,0.101666335817738,0.0586970863518938,0.010336043838605,3,1.24233290931209,"1"
50,"Congruent VE",2,1,0.5,0.288675134594813,0.25,3,1.5,0.25,0.144337567297406,0.0625,3,-0.25,0.25,0.144337567297406,0.0625,3,0.25,0.5,0.288675134594813,0.25,3,0.151237604291255,0.0873170715491503,0.0228728129517583,3,-0.141989577424094,0.151237604291255,0.0873170715491503,0.0228728129517583,3,0.141989577424094,"1"
2,"Small VE",2.7,1,0.152752523165195,0.0881917103688197,0.0233333333333333,3,0.266666666666667,0.0565750085797017,0.0326635964328962,0.00320073159579332,3,-0.901234567901235,0.0565750085797017,0.0326635964328962,0.00320073159579332,3,0.901234567901235,0.152752523165195,0.0881917103688196,0.0233333333333333,3,0.317734326329501,0.183443998837122,0.100955102128062,3,-1.07163668214311,0.317734326329501,0.183443998837122,0.100955102128062,3,1.07163668214311,"1"
